категория,CLIENT_ID,fin_segment,first_prod_ddateid,first_prod,age,gender,cnt_zp,cnt_open_zp,cnt_deb,cnt_open_deb,rest_debet_card,rest_safe,cnt_cc,cnt_cc_with_lim,rest_cc_limit,cnt_csf,cnt_active_csf,rest_csf_start,cnt_pil,cnt_active_pil,rest_pil_start,cnt_depo,cnt_active_depo,rest_depo_now,cnt_cash,cnt_pos,cnt_easy_installment,flg_currency
оформили PIL,12127,2,20180413,CC,44,M,0,0,0,0,0.00,0.00,3,0,0,0,0,0,3,1,39004.43,0,0,0,0,0,0,Нет
не оформили PIL,12128,5,20180524,PIL,55,M,0,0,0,0,0.00,0.00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12129,5,20180524,CC,53,M,0,0,1,1,0.00,0.00,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12130,0,20180524,CC,33,F,0,0,0,0,0.00,0.00,1,1,10600,0,0,0,0,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12131,1,20180524,CC,28,M,0,0,0,0,0.00,0.00,1,1,24200,0,0,0,0,0,0,0,0,0,7,14,0,Нет
оформили PIL,12132,2,20181130,CSF,42,M,0,0,0,0,0.00,0.00,1,1,5450,1,0,0,1,1,30000,0,0,0,3,2,0,Нет
не оформили PIL,12133,5,20180525,PIL,58,F,0,0,0,0,0.00,0.00,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12134,1,20180525,CC,57,F,0,0,0,0,0.00,0.00,1,1,24000,1,0,0,0,0,0,0,0,0,2,1,0,Нет
не оформили PIL,12135,2,20180525,CC,54,F,0,0,0,0,0.00,0.00,1,1,62500,0,0,0,0,0,0,0,0,0,1,7,0,Нет
не оформили PIL,12136,2,20180525,CC,50,M,0,0,0,0,0.00,0.00,1,1,4500,0,0,0,0,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12137,5,20180525,CC,43,M,0,0,1,1,0.00,0.00,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12138,0,20180525,CC,39,F,1,0,0,0,0.00,0.00,1,1,15000,0,0,0,0,0,0,0,0,0,0,6,0,Нет
не оформили PIL,12139,5,20180525,CSF,30,M,0,0,2,0,0.00,0.00,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12140,2,20180525,CC,30,M,0,0,0,0,0.00,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12141,2,20180525,CC,27,M,1,1,0,0,10.12,0.00,2,2,26000,0,0,0,0,0,0,0,0,0,28,154,0,Нет
оформили PIL,12142,0,20180407,CSF,55,M,0,0,0,0,0.00,0.00,1,1,1000,1,0,0,1,0,0,0,0,0,1,0,0,Нет
не оформили PIL,12143,5,20180526,CSF,27,M,0,0,0,0,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Нет
оформили PIL,12144,2,20180409,CSF,25,F,0,0,0,0,0.00,0.00,1,1,2700,2,1,"28,799",1,1,10720,0,0,0,0,0,0,Нет
не оформили PIL,12145,0,20180527,CSF,43,F,0,0,0,0,0.00,0.00,0,0,0,1,1,"16,999",0,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12146,1,20180527,CSF,26,F,0,0,0,0,0.00,0.00,1,1,10850,1,0,0,0,0,0,0,0,0,0,1,0,Нет
оформили PIL,12147,0,20180410,CC,55,F,0,0,1,1,0.00,0.00,3,0,0,0,0,0,3,1,30000,0,0,0,61,0,0,Нет
оформили PIL,12148,1,20180419,DT AP,34,F,1,0,0,0,0.00,0.00,3,1,23750,1,0,0,1,1,20000,0,0,0,26,12,0,Нет
оформили PIL,12149,2,20180410,CSF,48,F,0,0,0,0,0.00,0.00,1,1,5000,1,0,0,1,1,62000,0,0,0,3,0,0,Нет
оформили PIL,12150,2,20180410,CSF,49,F,0,0,1,1,0.00,0.00,2,2,6500,1,0,0,2,1,50000,0,0,0,0,0,0,Нет
оформили PIL,12151,5,20180411,CSF,40,F,0,0,0,0,0.00,0.00,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Нет
оформили PIL,12152,2,20180410,CSF,28,M,0,0,0,0,0.00,0.00,3,1,3000,3,1,"4,498",2,1,35000,0,0,0,0,0,0,Нет
не оформили PIL,12153,0,20180529,CSF,49,M,0,0,0,0,0.00,0.00,1,1,15000,1,0,0,0,0,0,0,0,0,5,5,0,Нет
не оформили PIL,12154,2,20180529,PIL,25,M,0,0,0,0,0.00,0.00,2,0,0,0,0,0,2,1,20000,0,0,0,0,0,0,Нет
оформили PIL,12155,3,20180411,CC,50,F,0,0,2,1,0.00,0.00,6,1,100000,0,0,0,5,1,299750,0,0,0,0,93,0,Нет
оформили PIL,12156,2,20180411,CC,34,M,0,0,1,1,71.47,0.00,3,0,0,0,0,0,2,2,157735.47,1,1,15433.45,0,0,0,Нет
оформили PIL,12157,1,20180411,CSF,24,M,0,0,0,0,0.00,0.00,2,2,8000,1,0,0,1,0,0,0,0,0,0,0,0,Нет
оформили PIL,12158,2,20180411,CSF,25,M,0,0,0,0,0.00,0.00,2,1,9900,2,0,0,2,1,52250,0,0,0,0,0,0,Нет
оформили PIL,12159,2,20180412,PIL,44,F,0,0,1,1,0.00,0.00,7,2,110000,0,0,0,6,1,210250,0,0,0,13,28,0,Нет
оформили PIL,12160,2,20180504,CC,33,F,0,0,0,0,0.00,0.00,3,3,24850,0,0,0,2,1,41250,0,0,0,0,0,0,Нет
оформили PIL,12161,1,20180413,CC,47,F,0,0,1,1,176.56,0.00,3,2,22050,0,0,0,2,1,40435.73,0,0,0,6,23,0,Нет
оформили PIL,12162,0,20180413,CSF,41,F,0,0,0,0,0.00,0.00,2,1,9300,1,0,0,1,1,6000,0,0,0,10,24,0,Нет
оформили PIL,12163,1,20180423,CC,37,M,0,0,0,0,0.00,0.00,2,0,0,2,1,"29,356",1,0,0,0,0,0,0,0,0,Нет
оформили PIL,12164,2,20180413,CSF,54,F,0,0,0,0,0.00,0.00,6,2,58700,1,0,0,3,1,57896.3,0,0,0,6,12,0,Нет
оформили PIL,12165,2,20180414,CSF,36,M,0,0,0,0,0.00,0.00,2,2,8000,1,0,0,1,1,21050,0,0,0,18,7,0,Нет
не оформили PIL,12166,5,20180530,PIL,61,F,0,0,0,0,0.00,0.00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12167,0,20180530,CSF,59,F,0,0,0,0,0.00,0.00,1,1,8600,1,0,0,0,0,0,0,0,0,2,8,0,Нет
не оформили PIL,12168,2,20180530,CC,39,M,0,0,0,0,0.00,0.00,1,1,75000,0,0,0,0,0,0,0,0,0,1,26,0,Нет
не оформили PIL,12169,1,20180530,CC,38,M,0,0,0,0,0.00,0.00,1,1,22550,0,0,0,0,0,0,0,0,0,5,6,0,Нет
не оформили PIL,12170,2,20180530,CC,35,M,1,1,0,0,0.00,0.00,1,1,22000,0,0,0,0,0,0,0,0,0,4,14,0,Нет
не оформили PIL,12171,2,20180530,ZP,28,M,1,1,0,0,8.04,0.00,1,1,5000,0,0,0,1,0,0,0,0,0,8,27,0,Нет
не оформили PIL,12172,0,20180530,CC,23,M,1,1,0,0,60.79,0.00,1,1,14000,1,1,"10,495",0,0,0,0,0,0,16,18,0,Нет
оформили PIL,12173,2,20180414,CSF,40,F,0,0,1,1,0.00,0.00,1,0,0,2,0,0,1,1,45760,0,0,0,0,0,0,Нет
оформили PIL,12174,2,20180414,CSF,39,F,0,0,0,0,0.00,0.00,5,1,4800,1,0,0,3,1,65000,0,0,0,0,0,0,Нет
оформили PIL,12175,1,20180416,PIL,47,F,0,0,1,1,0.00,0.00,3,1,3850,0,0,0,3,1,55000,0,0,0,2,0,0,Нет
оформили PIL,12176,1,20180424,CC,50,M,0,0,0,0,0.00,0.00,3,2,31500,0,0,0,2,1,18582.66,0,0,0,6,1,0,Нет
оформили PIL,12177,0,20180416,CSF,52,M,0,0,0,0,0.00,0.00,4,2,13550,1,0,0,3,1,50000,0,0,0,0,0,0,Нет
не оформили PIL,12178,2,20180531,CC,59,M,0,0,0,0,0.00,0.00,1,1,35000,0,0,0,0,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12179,5,20180531,CSF,36,F,0,0,0,0,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12180,2,20180531,CSF,29,F,1,1,0,0,0.00,0.00,1,1,17000,1,0,0,0,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12181,0,20180531,CC,25,F,2,2,0,0,198.57,0.00,2,1,15500,1,0,0,0,0,0,0,0,0,29,37,0,Нет
оформили PIL,12182,2,20180416,CSF,32,F,0,0,0,0,0.00,0.00,1,1,2000,1,0,0,1,1,19955,0,0,0,0,0,0,Нет
оформили PIL,12183,0,20180417,CC,44,F,0,0,0,0,0.00,0.00,2,0,0,0,0,0,1,1,30000,0,0,0,2,0,0,Нет
оформили PIL,12184,2,20180417,CC,27,F,0,0,0,0,0.00,0.00,3,2,19750,0,0,0,2,1,58385,0,0,0,3,0,0,Нет
не оформили PIL,12185,0,20180601,PIL,48,F,0,0,0,0,0.00,0.00,0,0,0,0,0,0,1,1,25480,0,0,0,0,0,0,Нет
не оформили PIL,12186,5,20180601,CSF,45,F,0,0,0,0,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12187,5,20180601,CSF,44,M,0,0,0,0,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12188,1,20180601,CC,42,M,1,1,0,0,"3,167.00",0.00,1,1,10450,0,0,0,0,0,0,0,0,0,23,28,0,Нет
не оформили PIL,12189,5,20180601,CSF,39,F,0,0,0,0,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12190,2,20180601,DT AP,39,M,1,1,0,0,864.28,7.05,0,0,0,0,0,0,0,0,0,0,0,0,47,59,0,Нет
не оформили PIL,12191,1,20180601,CSF,35,F,0,0,0,0,0.00,0.00,1,1,3000,1,0,0,0,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12192,2,20180601,CC,29,M,0,0,0,0,0.00,0.00,2,2,10000,0,0,0,0,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12193,5,20180601,CC,27,F,0,0,1,0,0.00,0.00,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12194,5,20180601,CSF,25,F,0,0,0,0,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Нет
оформили PIL,12195,2,20180424,CC,39,F,1,1,0,0,43.18,0.00,3,1,17300,0,0,0,2,0,0,0,0,0,23,84,0,Нет
оформили PIL,12196,2,20180502,CC,31,F,1,1,0,0,"9,696.46",0.00,2,2,18850,0,0,0,1,1,65000,0,0,0,0,111,0,Нет
не оформили PIL,12197,0,20180602,CSF,58,F,0,0,0,0,0.00,0.00,0,0,0,2,1,"8,219",0,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12198,5,20180602,CSF,40,M,0,0,0,0,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12199,5,20180602,CSF,30,F,0,0,0,0,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Нет
оформили PIL,12200,2,20180418,CC,37,F,0,0,0,0,0.00,0.00,2,0,0,0,0,0,2,1,87200,0,0,0,0,0,0,Нет
не оформили PIL,12201,5,20180603,CSF,43,M,0,0,0,0,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12202,5,20180603,CSF,43,M,0,0,0,0,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12203,5,20180603,CSF,27,M,0,0,0,0,0.00,0.00,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Нет
оформили PIL,12204,2,20180418,CSF,32,F,0,0,0,0,0.00,0.00,2,0,0,2,0,0,2,1,32282,0,0,0,0,0,0,Нет
оформили PIL,12205,1,20180418,CSF,34,F,0,0,0,0,0.00,0.00,3,0,0,1,0,0,3,1,60000,0,0,0,15,14,0,Нет
не оформили PIL,12206,5,20180604,CC,55,M,0,0,0,0,0.00,0.00,1,1,9000,0,0,0,1,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12207,0,20180604,CC,41,F,0,0,0,0,0.00,0.00,2,2,28000,0,0,0,0,0,0,0,0,0,3,0,0,Нет
не оформили PIL,12208,2,20180604,CC,40,M,0,0,0,0,0.00,0.00,1,1,30000,0,0,0,0,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12209,5,20180604,CC,39,F,0,0,0,0,0.00,0.00,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12210,2,20180604,PIL,35,M,0,0,0,0,0.00,0.00,2,1,25850,0,0,0,2,1,64788,0,0,0,0,0,0,Нет
не оформили PIL,12211,0,20180604,DEB,29,F,0,0,1,1,0.00,0.00,1,1,15000,0,0,0,0,0,0,0,0,0,0,5,0,Нет
не оформили PIL,12212,5,20180604,PIL,26,F,0,0,0,0,0.00,0.00,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Нет
оформили PIL,12213,2,20180419,CC,33,M,0,0,0,0,0.00,0.00,2,0,0,0,0,0,2,1,122500,0,0,0,0,0,0,Нет
оформили PIL,12214,0,20180419,CC,61,F,0,0,1,1,0.00,0.00,2,1,7150,0,0,0,2,1,21750,0,0,0,4,4,0,Нет
оформили PIL,12215,0,20180419,CSF,40,M,0,0,0,0,0.00,0.00,1,1,5000,1,0,0,1,1,30250,0,0,0,66,2,0,Нет
не оформили PIL,12216,2,20180605,ZP,52,M,1,1,0,0,0.87,"1,150.70",1,1,18750,0,0,0,0,0,0,5,1,21295.33,1,1,0,Нет
не оформили PIL,12217,1,20180605,CSF,48,F,0,0,0,0,0.00,0.00,1,1,23200,1,0,0,0,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12218,2,20180605,ZP,36,M,1,1,0,0,"8,034.60",0.00,1,1,75000,0,0,0,0,0,0,0,0,0,26,1,0,Нет
не оформили PIL,12219,2,20180605,CC,34,F,0,0,0,0,0.00,0.00,1,1,27900,0,0,0,0,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12220,1,20180605,ZP,33,F,1,1,0,0,"3,036.91",0.00,0,0,0,0,0,0,0,0,0,0,0,0,20,132,0,Нет
не оформили PIL,12221,0,20180605,CC,31,F,1,1,0,0,62.12,0.00,1,1,7000,0,0,0,0,0,0,0,0,0,14,5,0,Нет
не оформили PIL,12222,0,20180605,DEB,26,F,0,0,2,2,4.00,0.00,2,1,19800,0,0,0,1,1,40000,0,0,0,11,22,0,Нет
оформили PIL,12223,2,20180419,DEB,33,F,0,0,3,1,0.00,0.00,2,0,0,0,0,0,3,2,91264.76,0,0,0,0,0,0,Нет
оформили PIL,12224,0,20180419,CC,36,F,0,0,0,0,0.00,0.00,3,0,0,0,0,0,3,3,66691.35,0,0,0,0,0,0,Нет
оформили PIL,12225,5,20180419,CC,32,F,0,0,0,0,0.00,0.00,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Нет
оформили PIL,12226,2,20180419,CSF,27,M,0,0,0,0,0.00,0.00,2,1,5000,1,0,0,2,1,48508.86,0,0,0,0,0,0,Нет
не оформили PIL,12227,5,20180606,PIL,52,F,0,0,0,0,0.00,0.00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12228,0,20180606,CC,46,M,0,0,0,0,0.00,0.00,1,1,12100,0,0,0,0,0,0,0,0,0,0,7,0,Нет
не оформили PIL,12229,5,20180606,CC,42,M,0,0,0,0,0.00,0.00,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12230,0,20180606,CSF,41,M,0,0,0,0,0.00,0.00,0,0,0,1,1,"6,998",0,0,0,0,0,0,0,0,0,Нет
не оформили PIL,12231,2,20180606,CC,41,M,0,0,0,0,0.00,0.00,2,2,77600,0,0,0,0,0,0,0,0,0,0,0,0,Нет
